2024-10-11 15:33:57 INFO: Connecting to 149.154.167.51:443/TcpFull...
2024-10-11 15:33:59 INFO: Connection to 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Phone migrated to 4
2024-10-11 15:34:00 INFO: Reconnecting to new data center 4
2024-10-11 15:34:00 INFO: Disconnecting from 149.154.167.51:443/TcpFull...
2024-10-11 15:34:00 INFO: Disconnection from 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Connecting to 149.154.167.92:443/TcpFull...
2024-10-11 15:52:41 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:52:50 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:53:03 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:53:18 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:53:18 INFO: Got difference for account updates
2024-10-11 15:53:25 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:53:38 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:53:55 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:54:04 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:54:08 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:54:21 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:54:34 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:54:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:54:50 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:54:57 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:54:58 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:55:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:55:03 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:55:11 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:55:13 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:55:19 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:55:29 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:55:46 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:55:54 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:56:05 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
